date,demand,cap
2020/1/1,0,0
2020/1/2,0,0
2020/1/3,0,0
2020/1/4,0,0
2020/1/5,0,0
2020/1/6,0,0
2020/1/7,0,0
2020/1/8,0,0
2020/1/9,0,0
2020/1/10,0,0
2020/1/11,0,0
2020/1/12,0,0
2020/1/13,0,0
2020/1/14,0,0
2020/1/15,0,0
2020/1/16,0,0
2020/1/17,0,0
2020/1/18,0,0
2020/1/19,0,0
2020/1/20,0,0
2020/1/21,0,0
2020/1/22,0,0
2020/1/23,0,0
2020/1/24,0,0
2020/1/25,0,0
2020/1/26,0,0
2020/1/27,0,0
2020/1/28,0,0
2020/1/29,0,0
2020/1/30,0,0
2020/1/31,0,0
2020/2/1,0,0
2020/2/2,0,0
2020/2/3,0,0
2020/2/4,0,0
2020/2/5,0,0
2020/2/6,0,0
2020/2/7,0,0
2020/2/8,0,0
2020/2/9,0,0
2020/2/10,0,0
2020/2/11,0,0
2020/2/12,0,0
2020/2/13,0,0
2020/2/14,0,0
2020/2/15,0,0
2020/2/16,0,0
2020/2/17,0,0
2020/2/18,0,0
2020/2/19,0,0
2020/2/20,0,0
2020/2/21,0,0
2020/2/22,0,0
2020/2/23,0,0
2020/2/24,0,0
2020/2/25,0,0
2020/2/26,0,0
2020/2/27,0,0
2020/2/28,0,0
2020/2/29,0,0
2020/3/1,0,0
2020/3/2,0,0
2020/3/3,0,0
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/3/10,0,0
2020/3/11,0,0
2020/3/12,0,0
2020/3/13,0,0
2020/3/14,0,0
2020/3/15,0,0
2020/3/16,0,0
2020/3/17,0,0
2020/3/18,0,0
2020/3/19,0,0
2020/3/20,0,0
2020/3/21,0,0
2020/3/22,165.27,0
2020/3/23,46.9,0
2020/3/24,65.53,0
2020/3/25,148.44,0
2020/3/26,264.05,0
2020/3/27,266.63,0
2020/3/28,0,0
2020/3/29,0,0
2020/3/30,0,0
2020/3/31,0,0
2020/4/1,440.12,0
2020/4/2,0,0
2020/4/3,667.35,0
2020/4/4,180.66,0
2020/4/5,347.67,0
2020/4/6,2739.52,0
2020/4/7,594.01,0
2020/4/8,13.61,0
2020/4/9,245.99,0
2020/4/10,430.7,0
2020/4/11,62.71,0
2020/4/12,1095.72,0
2020/4/13,777.2,0
2020/4/14,244.68,0
2020/4/15,88.39,0
2020/4/16,381.77,0
2020/4/17,167.11,0
2020/4/18,91.19,0
2020/4/19,47.06,0
2020/4/20,173.14,0
2020/4/21,60.98,0
2020/4/22,408.34,0
2020/4/23,475.94,0
2020/4/24,76.91,0
2020/4/25,662.33,0
2020/4/26,0,0
2020/4/27,0,0
2020/4/28,0,0
2020/4/29,0,0
2020/4/30,0,0
2020/5/1,134.11,0
2020/5/2,0,0
2020/5/3,0,0
2020/5/4,0,0
2020/5/5,0,0
2020/5/6,0,0
2020/5/7,0,0
2020/5/8,0,0
2020/5/9,0,0
2020/5/10,0,0
2020/5/11,0,0
2020/5/12,628,0
2020/5/13,1769.77,0
2020/5/14,2641.79,0
2020/5/15,999.62,0
2020/5/16,274.15,0
2020/5/17,687.61,0
2020/5/18,1320,0
2020/5/19,503.17,0
2020/5/20,589.61,0
2020/5/21,0,0
2020/5/22,798.44,0
2020/5/23,673.99,0
2020/5/24,0,0
2020/5/25,8579.28,0
2020/5/26,1513.79,0
2020/5/27,2195.84,0
2020/5/28,1208.79,0
2020/5/29,0,0
2020/5/30,0,0
2020/5/31,0,0
2020/6/1,210.55,0
2020/6/2,1495.36,0
2020/6/3,1077.77,0
2020/6/4,271.69,0
2020/6/5,341.71,0
2020/6/6,0,0
2020/6/7,0,0
2020/6/8,359.14,0
2020/6/9,590.02,0
2020/6/10,79.48,0
2020/6/11,440.04,0
2020/6/12,1251.93,0
2020/6/13,1204.69,0
2020/6/14,56.86,0
2020/6/15,1192.85,0
2020/6/16,959.52,0
2020/6/17,942.21,0
2020/6/18,826.41,0
2020/6/19,4333.14,0
2020/6/20,316.66,0
2020/6/21,402.77,0
2020/6/22,1985.09,0
2020/6/23,1065.96,0
2020/6/24,6524.86,0
2020/6/25,153.04,0
2020/6/26,275.57,0
2020/6/27,1000.55,0
2020/6/28,5071.18,0
2020/6/29,311.15,0
2020/6/30,0,0
2020/7/1,0,0
2020/7/2,400.89,0
2020/7/3,296.51,0
2020/7/4,162.11,0
2020/7/5,297.02,0
2020/7/6,214.67,0
2020/7/7,82.47,0
2020/7/8,348.99,0
2020/7/9,1317.76,0
2020/7/10,269.15,0
2020/7/11,736.28,0
2020/7/12,588.91,0
2020/7/13,381.01,0
2020/7/14,173.46,0
2020/7/15,223.88,0
2020/7/16,176.8,0
2020/7/17,170.51,0
2020/7/18,44.36,0
2020/7/19,153.96,0
2020/7/20,187.44,0
2020/7/21,333.98,0
2020/7/22,470.25,0
2020/7/23,590.82,0
2020/7/24,1445.91,0
2020/7/25,368.75,0
2020/7/26,62.63,0
2020/7/27,0,0
2020/7/28,0,0
2020/7/29,0,0
2020/7/30,0,0
2020/7/31,0,0
2020/8/1,69.28,0
2020/8/2,0,0
2020/8/3,236.99,0
2020/8/4,26,0
2020/8/5,45,0
2020/8/6,145.32,0
2020/8/7,516.56,0
2020/8/8,1137,0
2020/8/9,15,0
2020/8/10,701.36,0
2020/8/11,16.1,0
2020/8/12,473.56,0
2020/8/13,184.16,0
2020/8/14,0,0
2020/8/15,134.6,0
2020/8/16,19.45,0
2020/8/17,303.72,0
2020/8/18,524.43,0
2020/8/19,217.83,0
2020/8/20,966.47,0
2020/8/21,201.88,0
2020/8/22,113.66,0
2020/8/23,792.28,0
2020/8/24,518.09,0
2020/8/25,1408.43,0
2020/8/26,211.01,0
2020/8/27,0,0
2020/8/28,0,0
2020/8/29,0,0
2020/8/30,0,0
2020/8/31,0,0
2020/9/1,210.17,0
2020/9/2,219.22,0
2020/9/3,187.94,0
2020/9/4,175.7,0
2020/9/5,152.1,0
2020/9/6,6.15,0
2020/9/7,60.18,0
2020/9/8,68.68,0
2020/9/9,1209.22,0
2020/9/10,785.07,0
2020/9/11,165.35,0
2020/9/12,403.46,0
2020/9/13,818.07,0
2020/9/14,245.07,0
2020/9/15,33.85,0
2020/9/16,499.16,0
2020/9/17,144.95,0
2020/9/18,243.46,0
2020/9/19,268.57,0
2020/9/20,1656.11,0
2020/9/21,453.62,0
2020/9/22,111.11,0
2020/9/23,317.4,0
2020/9/24,396.13,0
2020/9/25,186.38,0
2020/9/26,4.13,0
2020/9/27,62.04,0
2020/9/28,0,0
2020/9/29,0,0
2020/9/30,0,0
2020/10/1,0,0
2020/10/2,348.1,0
2020/10/3,952.95,0
