date,demand
2020/1/1,0
2020/1/2,0
2020/1/3,0
2020/1/4,0
2020/1/5,0
2020/1/6,0
2020/1/7,0
2020/1/8,0
2020/1/9,25
2020/1/10,0
2020/1/11,0
2020/1/12,0
2020/1/13,1339.741
2020/1/14,2014.088
2020/1/15,0
2020/1/16,0
2020/1/17,0
2020/1/18,0
2020/1/19,72.57
2020/1/20,20
2020/1/21,0
2020/1/22,0
2020/1/23,0
2020/1/24,0
2020/1/25,0
2020/1/26,0
2020/1/27,0
2020/1/28,0
2020/1/29,0
2020/1/30,0
2020/1/31,0
2020/2/1,0
2020/2/2,0
2020/2/3,0
2020/2/4,0
2020/2/5,0
2020/2/6,0
2020/2/7,0
2020/2/8,0
2020/2/9,0
2020/2/10,0
2020/2/11,0
2020/2/12,0
2020/2/13,0
2020/2/14,0
2020/2/15,0
2020/2/16,0
2020/2/17,0
2020/2/18,0
2020/2/19,0
2020/2/20,0
2020/2/21,0
2020/2/22,0
2020/2/23,0
2020/2/24,0
2020/2/25,0
2020/2/26,0
2020/2/27,0
2020/2/28,0
2020/2/29,0
2020/3/1,0
2020/3/2,0
2020/3/3,0
2020/3/4,188.204
2020/3/5,0
2020/3/6,0
2020/3/7,0
2020/3/8,0
2020/3/9,0
2020/3/10,0
2020/3/11,0
2020/3/12,24.88
2020/3/13,0
2020/3/14,0
2020/3/15,0
2020/3/16,0.42
2020/3/17,1018.838
2020/3/18,2595.98
2020/3/19,2843.679
2020/3/20,1199.807
2020/3/21,2658.785
2020/3/22,1236.688
2020/3/23,3102.911
2020/3/24,8629.725
2020/3/25,3767.695
2020/3/26,4222.069
2020/3/27,880.049
2020/3/28,0
2020/3/29,0
2020/3/30,26.32
2020/3/31,46.171
2020/4/1,596.089
2020/4/2,124.569
2020/4/3,936.216
2020/4/4,234.247
2020/4/5,660.82
2020/4/6,2862.437
2020/4/7,804.787
2020/4/8,533.681
2020/4/9,377.721
2020/4/10,582.434
2020/4/11,93.22
2020/4/12,1239.316
2020/4/13,1381.283
2020/4/14,304.112
2020/4/15,266.448
2020/4/16,459.63
2020/4/17,266.346
2020/4/18,138.286
2020/4/19,47.061
2020/4/20,990.384
2020/4/21,1142.458
2020/4/22,4557.317
2020/4/23,7542.323
2020/4/24,6620.335
2020/4/25,3730.192
2020/4/26,2864.055
2020/4/27,2238.715
2020/4/28,625.418
2020/4/29,243.53
2020/4/30,16.16
2020/5/1,165.011
